Date,name,title,rating,description
"August 6, 2021",Tee,N/A,5.0,This will always be needed
"August 5, 2021",WalmartCustomer,N/A,1.0,These items were wet everywhere. Everything was spilling
"August 4, 2021",Margaret,N/A,5.0,Best Buy around any store
"August 3, 2021",Goodeat,N/A,2.0,One plastic container was crunched and leaked solution inside the box.
"August 3, 2021",Vicki,"Clorox Disinfecting Wipes,(225 Count Pack)",1.0,"The box this item was delivered in was wet!! When I opened the box my order was leaking wet liquid. My church is collecting needed supplies for a local public school and this order was something that was requested to donate to the school. But I cannot donate this item that included (3) containers of Clorox Disinfecting Wipes because of the leakage and not sealed properly. The containers are wet and the labels on the containers are peeling off because they are wet from the leakage,which makes them look like they were opened and used. This is very disappointing but it appears that they were packaged good and tight and should not have leaked. I dont know how the leakage could have been prevented but I ask you to investigate to see if it could be fixed and so it could be prevented possibly for the future customers. Thanks so much for investigating and correcting if possible!"
"August 3, 2021",Mark,Thank you!,5.0,This is good price and great product!
"August 2, 2021",James,N/A,2.0,Whatever liquid thats not absorbed in the towels will leak out during shipping. Other than that great product
"August 1, 2021",Ro,N/A,5.0,"Love these, very easy to use"
"August 1, 2021",Maryellen,Protecting those you love.,5.0,Very confident in using these wipes on surfaces. With viruses you can never be to safe in protecting those you love.
"July 31, 2021",Miriam,N/A,5.0,They are early in more days. Thank you.
"July 31, 2021",Susan,Always the best,5.0,Why wouldn't anyone like this item? Especially now.
"July 30, 2021",adrienne,Very nice deal reasonably priced,5.0,Such a good deal love being stocked up
"July 30, 2021",Ghaziani,N/A,5.0,These are very good for class rooms.
"July 30, 2021",Jessica,N/A,5.0,I like these Clorox wipes for cleaning the bathroom. And they are requested on daughters school supply list.
"July 28, 2021",Alicia,Hands Down The Best Wipe Ever!,5.0,Clorox products are always the best choice. No strong scent. No irritants. Highly recommend
"July 28, 2021",Fiesta,N/A,5.0,Nothing like Clorox products
"July 27, 2021",June,I'll need a refund. It's got to be our hot temps?,1.0,all the liquid was drained out of all three containers and the paper was peeling off the sides of each of them by the time and took the outer plastic off. They must have tipped inside of the box or got too hot inside the truck or something. I'm not sure.
"July 27, 2021",Nene,The real deal,5.0,The real deal. Its effective
"July 26, 2021",kathleen,Excellent,5.0,"Great price, product and service"
"July 26, 2021",Mallazine,Highly recommend,5.0,Cleans hard to clean surfaces
"July 25, 2021",sarahleeanns,This is a must,5.0,This is a must have in any house hold! They work amazing and keep all those unwanted nasty germs away! They also smell soooo clean!
"July 24, 2021",Anna,N/A,5.0,Great price for the product
"July 24, 2021",WalmartCustomer,N/A,5.0,"Stock up now, round 2 will be starting soon"
"July 24, 2021",Momm,Great for cleaning.,5.0,Great to be able to get Clorex wipes again.
"July 24, 2021",gunn,Super Clorox,5.0,"Love these, easy disinfecting and clean ups"
"July 23, 2021",t,clorox the wonder product for many uses,5.0,"love clrox wipes/clorox products keeps everthing smelling fresh/clean comes in bulk pgk,different fragances at resoniuble price"
"July 23, 2021",Joyce,N/A,1.0,All three packs of wipes leaked and the outsides of the containers were so wet that the lablels were coming off.
"July 23, 2021",Linda,N/A,5.0,This a good buy did feel like going out that week in because weather reason Im the house have everything at hand an a good buy
"July 23, 2021",Maggy74,N/A,5.0,Ive used these before and they work for me.great
"July 22, 2021",Me,N/A,5.0,"goid deal though inflation has upped everything, speedy shipment."
"July 22, 2021",roseyg9493,Love this product! Love,5.0,"Love this product! Love the scent, the packaging, the ease of use. My husband uses them all the time. They have a nice texture and wipe away the mess all at once! Definitely recommend!"
"July 22, 2021",Ester,Finally in stock,5.0,Love anything Clorox use products all the time for years. Since Covid shortage
"July 21, 2021",debiann301,When Covud came along,4.0,"When Covud came along I used whatever wipes I could find. When Clorox hit the shelves again I stocked up. These wipes are tough; you can scrub pretty hard with them. And, being Clorox, you can rest assured that you are disinfecting your house."
"July 20, 2021",mike,N/A,5.0,Easy to use and effective.
"July 20, 2021",neenees,Need to clean and,5.0,"Need to clean and disinfect all at once. Clorox is key. And easy clean. It pretty much gives you, your surface back immediately after"
"July 20, 2021",mystiel,I love the scent,5.0,I love the scent and the strong durable quality of these wipes. The have a refreshing sent that isn't overbearing in the least. Much more pleasant than the usual bleach smell that fills my home ⭐⭐⭐⭐⭐Clorox Disinfecting Wipes Bleach Free Cleaning Wipes - Crisp Lemon - 75ct
"July 19, 2021",FreeBird16,N/A,5.0,I Love these. Even cleans glass
"July 19, 2021",alexisr178,This product this amazing,5.0,This product this amazing especially if I need to cleaning something quickly. I know it will get the space clean. It's simple and easy to use.
"July 18, 2021",Lucretia,N/A,5.0,Everything was well received
"July 18, 2021",lilyc85,These Clorox wipes don't,5.0,These Clorox wipes don't have a good sent but they do clean object really good.These wipes stay wet for a while so you can clean multiple surfaces.
"July 18, 2021",debra,N/A,5.0,Very handy to have in house.
"July 18, 2021",Audrey,Satisfied,5.0,Very good I recommend it to others
"July 17, 2021",WalmartCustomer,Leaked all in the box,1.0,Leaked out in the box. Just go buy it from the store yourself
"July 15, 2021",Patrice,N/A,5.0,Love the scent of Clorox wipes versus Lysol..Great buy..Very pleased.
"July 14, 2021",None,N/A,4.0,okay but all thing did not come.
"July 14, 2021",RT,N/A,5.0,Great price and convenience! Thx!
"July 14, 2021",ChristmasShopper,N/A,5.0,"Love the fact that I can finally get them again. They work great, smell better and have a better texture than other brands."
"July 14, 2021",Meechie,Excellent for cleaning,5.0,"Cleans very well, especially for spot cleaning, or if youre in a hurry"
"July 14, 2021",maribelg42,The Clorox Disinfecting Wipes,5.0,The Clorox Disinfecting Wipes help to maintain the bathroom and the kitchen very clean .I used it every day for the lid of the toilet and I like very much.
"July 13, 2021",Debra,N/A,1.0,Containers of wipes were dented and must have leaked cleaner liquid because Clorox labels were peeled off containers.
"July 13, 2021",Pilu,N/A,5.0,It cleans everything in the bathroom so good
"July 12, 2021",jenniferm805,We use these all,5.0,We use these all over my house for all surfaces door handles counters light switches etc. due to my youngest child being prone to sickness we have to always be safe and take precautions on everything we do so we stand behind this product
"July 12, 2021",Margo,Disinfecting wipes,5.0,Love them. So hard to find.
"July 11, 2021",zuhraa_x,Best wipes. It cleans,5.0,Best wipes. It cleans and disinfects. It also picks up my cats hairs from the counters. This is my go to disinfecting wipes. Also they don't dry out!
"July 11, 2021",Patty,N/A,5.0,Always used wipes for clean ups. Finally we can buy them again!
"July 11, 2021",catieh14,Awesome wipes work great,5.0,Awesome wipes work great especially during covid! Whole family loves them. Lemon scent is perfect. Use this for everything!
"July 10, 2021",mariap678,Love the scent and,5.0,Love the scent and how clean my counters are. I feel safe using it. Price is right for quantity of wipes.
"July 10, 2021",katherinef70,This one is actually,5.0,This one is actually my favorite. Mine was super moist and wipes very good. I like the clean scent that it has also. I like to keep one in my car to wipe the gas pump handles down and also one in my kitchen to wipe the counter that I cooked anywhere with meat. I would recommend this.
"July 10, 2021",brittanyy21,I absolutely love these,5.0,I absolutely love these for a quick cleanup. I find using individual wipes to be more sanitary than reusing a rag. I wish they made wipes specifically for cleaning wood though. Great product for the price because it takes the place of several cleaning products I would use on hard non porous surfaces. These are definitely a regular on my shopping list.
"July 10, 2021",lizziem37,Good for the house,4.0,Good for the house it keeps baby an family from getting sick are catch bacteria form the house an kep germ away . texting the product form at the house
"July 9, 2021",Maguro,Clorox disinfecting wipes,5.0,"I only use Clorox disinfecting wipes, it is the best!"
